id,start_date,motion:text,motion:result,motion:requirement
12439,1998-07-15T08:47:00,Informace o ustavení volební komise PS,pass,simple majority
12440,1998-07-15T08:51:00,Návrh na stanovení členů mand.a imun. výboru,pass,simple majority
12441,1998-07-15T08:51:00,Návrh na stanovení členů mand.a imun. výboru,fail,simple majority
12442,1998-07-15T08:51:00,Návrh na stanovení členů mand.a imun. výboru,fail,simple majority
12443,1998-07-15T08:54:00,Návrh na stanovení členů mand.a imun. výboru,pass,simple majority
12444,1998-07-17T07:05:00,Návrh na ustavení mandátového výboru,pass,simple majority
12445,1998-07-17T09:12:00,Návrh na potvrzení předsedy MIV                N,pass,simple majority
12446,1998-07-17T09:16:00,Zpráva MIV o výsledku zkoumání,pass,simple majority
12447,1998-07-17T11:48:00,Návrh na stanovení počtu místopředsedů PS,fail,simple majority
12448,1998-07-17T11:48:00,Návrh na stanovení počtu místopředsedů PS,fail,simple majority
12449,1998-07-17T11:48:00,Návrh na stanovení počtu místopředsedů PS,pass,simple majority
12450,1998-07-17T11:48:00,Návrh na stanovení počtu místopředsedů PS,fail,simple majority
12451,1998-07-17T11:52:00,Návrh na stanovení počtu místopředsedů PS,fail,simple majority
12452,1998-07-17T11:52:00,Návrh na stanovení počtu místopředsedů PS,fail,simple majority
12453,1998-07-17T11:53:00,Návrh na stanovení počtu místopředsedů PS,pass,simple majority
12454,1998-07-17T12:30:00,Návrh na stanovení počtu místopředsedů PS,fail,simple majority
12455,1998-07-17T13:48:00,Návrh na stanovení počtu ověřovatelů PS,pass,simple majority
12456,1998-07-17T13:51:00,Návrh na nominaci ověřovatelů PS,pass,simple majority
12457,1998-07-17T13:52:00,Návrh na nominaci ověřovatelů PS,pass,simple majority
12458,1998-07-17T14:06:00,Návrh na zřízení výborů PS,pass,simple majority
12459,1998-07-17T14:09:00,Návrh na zřízení výborů PS,fail,simple majority
12460,1998-07-17T14:09:00,Návrh na zřízení výborů PS,pass,simple majority
12461,1998-07-17T14:16:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12462,1998-07-17T14:16:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12463,1998-07-17T14:16:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12464,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12465,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12466,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12467,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12468,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12469,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12470,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12471,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12472,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12473,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12474,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12475,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12476,1998-07-17T14:19:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12477,1998-07-17T14:29:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12478,1998-07-17T14:29:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12479,1998-07-17T14:29:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12480,1998-07-17T14:29:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12481,1998-07-17T14:29:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12482,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12483,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12484,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12485,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12486,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12487,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12488,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12489,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12490,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12491,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12492,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12493,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12494,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12495,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12496,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12497,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12498,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12499,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12500,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12501,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12502,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,fail,simple majority
12503,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12504,1998-07-17T14:33:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12505,1998-07-17T15:16:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12506,1998-07-17T15:16:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12507,1998-07-17T15:16:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12508,1998-07-17T15:18:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12509,1998-07-17T15:18:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12510,1998-07-17T15:21:00,Návrh na stanovení počtu členů výborů PS,pass,simple majority
12511,1998-07-17T15:30:00,Návrh termínu 2. schůze PS,pass,simple majority
12512,1998-07-17T15:30:00,Návrh termínu 2. schůze PS,fail,simple majority
12513,1998-07-17T15:30:00,Návrh termínu 2. schůze PS,pass,simple majority
12514,1998-07-22T07:15:00,,pass,simple majority
12515,1998-07-22T07:30:00,,pass,simple majority
12516,1998-07-22T07:32:00,,fail,simple majority
12517,1998-07-22T07:32:00,,fail,simple majority
12518,1998-07-22T07:36:00,,pass,simple majority
12519,1998-07-22T07:37:00,,fail,simple majority
12520,1998-07-22T07:37:00,,fail,simple majority
12521,1998-07-22T07:39:00,,fail,simple majority
12522,1998-07-22T07:40:00,,fail,simple majority
12523,1998-07-22T07:40:00,,pass,simple majority
12524,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12525,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12526,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12527,1998-07-22T07:43:00,Návrh na ustavení výborů PS,fail,simple majority
12528,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12529,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12530,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12531,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12532,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12533,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12534,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12535,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12536,1998-07-22T07:43:00,Návrh na ustavení výborů PS,pass,simple majority
12537,1998-07-22T08:00:00,Zřízení komise BIS                         u,pass,simple majority
12538,1998-07-22T08:01:00,Zřízení komise BIS                         u,pass,simple majority
12539,1998-07-22T08:01:00,Zřízení komise BIS                         u,pass,simple majority
12540,1998-07-22T08:04:00,Komise PS pro kontrolu použití oper.tech.,pass,simple majority
12541,1998-07-22T08:04:00,Komise PS pro kontrolu použití oper.tech.,pass,simple majority
12542,1998-07-22T08:04:00,Komise PS pro kontrolu použití oper.tech.,pass,simple majority
12543,1998-07-22T08:08:00,Komise pro kontrolu čin. vojens.obran.zprav.,pass,simple majority
12544,1998-07-22T08:08:00,Komise pro kontrolu čin. vojens.obran.zprav.,pass,simple majority
12545,1998-07-22T08:08:00,Komise pro kontrolu čin. vojens.obran.zprav.,pass,simple majority
12546,1998-07-22T08:40:00,Zřízení komise BIS                         u,pass,simple majority
12547,1998-07-22T08:58:00,Zřízení komise BIS                         u,pass,simple majority
12548,1998-07-22T08:58:00,Komise pro kontrolu čin. vojens.obran.zprav.,fail,simple majority
12549,1998-07-22T09:01:00,Komise pro kontrolu čin. vojens.obran.zprav.,pass,simple majority
12550,1998-07-22T09:03:00,Komise pro kontrolu čin. vojens.obran.zprav.,pass,simple majority
12551,1998-07-22T09:06:00,Zřízení komise BIS                         u,pass,simple majority
12552,1998-07-22T09:06:00,Zřízení komise BIS                         u,pass,simple majority
12553,1998-07-22T09:08:00,Zřízení komise BIS                         u,pass,simple majority
12554,1998-07-22T09:08:00,Zřízení komise BIS                         u,pass,simple majority
12555,1998-07-22T09:08:00,Zřízení komise BIS                         u,pass,simple majority
12556,1998-07-22T09:12:00,Komise pro kontrolu čin. vojens.obran.zprav.,pass,simple majority
12557,1998-07-22T09:12:00,Komise pro kontrolu čin. vojens.obran.zprav.,pass,simple majority
12558,1998-07-22T09:12:00,Komise pro kontrolu čin. vojens.obran.zprav.,pass,simple majority
12559,1998-07-24T07:20:00,Platnost usnesení PS za II. vol. období,pass,simple majority
12560,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12561,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12562,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12563,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12564,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12565,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12566,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12567,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12568,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12569,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12570,1998-07-24T07:23:00,Návrh na potvrzení předsedů výborů PS,pass,simple majority
12571,1998-07-24T07:34:00,Volba členů komise BIS,pass,simple majority
12572,1998-07-24T07:34:00,Volba členů komise BIS,pass,simple majority
12573,1998-07-24T07:34:00,Volba členů komise BIS,pass,simple majority
12574,1998-07-24T07:34:00,Volba členů komise BIS,pass,simple majority
12575,1998-07-24T07:34:00,Volba členů komise BIS,pass,simple majority
12576,1998-07-24T07:34:00,Volba členů komise BIS,pass,simple majority
12577,1998-07-24T07:34:00,Volba členů komise BIS,pass,simple majority
12578,1998-07-24T07:43:00,Návrh na volbu členů komise - oper.tech.,pass,simple majority
12579,1998-07-24T07:43:00,Návrh na volbu členů komise - oper.tech.,pass,simple majority
12580,1998-07-24T07:43:00,Návrh na volbu členů komise - oper.tech.,pass,simple majority
12581,1998-07-24T07:43:00,Návrh na volbu členů komise - oper.tech.,pass,simple majority
12582,1998-07-24T07:43:00,Návrh na volbu členů komise - oper.tech.,pass,simple majority
12583,1998-07-24T07:48:00,Návrh na volbu členů komise VOZ PS,pass,simple majority
12584,1998-07-24T07:48:00,Návrh na volbu členů komise VOZ PS,pass,simple majority
12585,1998-07-24T07:48:00,Návrh na volbu členů komise VOZ PS,pass,simple majority
12586,1998-07-24T07:48:00,Návrh na volbu členů komise VOZ PS,pass,simple majority
12587,1998-07-24T07:48:00,Návrh na volbu členů komise VOZ PS,pass,simple majority
12588,1998-07-24T07:48:00,Návrh na volbu členů komise VOZ PS,pass,simple majority
12589,1998-07-24T07:48:00,Návrh na volbu členů komise VOZ PS,pass,simple majority
12590,1998-07-24T07:55:00,Návrh zasedacího pořádku,pass,simple majority
12596,1998-08-18T12:09:00,,pass,simple majority
12597,1998-08-18T12:22:00,,fail,simple majority
12598,1998-08-18T12:24:00,,fail,simple majority
12599,1998-08-18T12:25:00,,pass,simple majority
12600,1998-08-18T12:25:00,,pass,simple majority
12601,1998-08-18T13:05:00,Žádost vlády ČR o vyslovení důvěry,pass,simple majority
12602,1998-08-19T14:26:00,Žádost vlády ČR o vyslovení důvěry,pass,simple majority
12603,1998-08-19T15:23:00,Příspěvek na úhradu voleb.nákl.polit.stran,pass,simple majority
12604,1998-08-19T15:28:00,Závěrečný účet ČR za rok 1997 a PS,pass,simple majority
12605,1998-08-19T15:33:00,Návrh na projednávání státního rozpočtu (99),pass,simple majority
12606,1998-08-19T16:28:00,Evropská charta místní samosprávy,pass,simple majority
12607,1998-08-19T16:28:00,Evropská charta místní samosprávy,pass,simple majority
12608,1998-08-19T16:35:00,Volba předsedů komisí - BIS a VOTP a VOZ,pass,simple majority
12609,1998-08-19T16:42:00,Usnesení   PS k invazi 1968,fail,simple majority
12610,1998-08-19T16:42:00,Usnesení   PS k invazi 1968,pass,simple majority
12611,1998-09-17T07:09:00,,pass,simple majority
12612,1998-09-17T07:12:00,,pass,simple majority
12613,1998-09-17T07:43:00,Senátní návrh o odejmutí platu za 2.pol.98,pass,simple majority
12614,1998-09-17T07:43:00,Senátní návrh o odejmutí platu za 2.pol.98,pass,simple majority
12615,1998-09-17T07:58:00,Návrh zákona ve věcech převodu vlast.státu,pass,simple majority
12616,1998-09-17T07:58:00,Návrh zákona ve věcech převodu vlast.státu,pass,simple majority
12617,1998-09-17T07:58:00,Návrh zákona ve věcech převodu vlast.státu,pass,simple majority
12618,1998-09-17T08:06:00,Vl.návrh zák. o státním rozpočtu na rok 1998,pass,simple majority
12619,1998-09-17T08:06:00,Vl.návrh zák. o státním rozpočtu na rok 1998,pass,simple majority
12620,1998-10-13T12:30:00,,pass,simple majority
12621,1998-10-13T12:47:00,,fail,simple majority
12622,1998-10-13T12:47:00,,pass,simple majority
12623,1998-10-13T12:49:00,,fail,simple majority
12624,1998-10-13T12:50:00,,pass,simple majority
12625,1998-10-13T12:50:00,,pass,simple majority
12626,1998-10-13T12:50:00,,pass,simple majority
12627,1998-10-13T13:42:00,Komise PS pro bankovnictví,fail,simple majority
12628,1998-10-13T13:45:00,Zřízení komise pro práci Kanceláře PS,fail,simple majority
12629,1998-10-13T13:45:00,Zřízení komise pro práci Kanceláře PS,pass,simple majority
12630,1998-10-13T13:50:00,Návrh na zřízení komise pro sdělovací pros.,pass,simple majority
12631,1998-10-13T13:50:00,Návrh na zřízení komise pro sdělovací pros.,pass,simple majority
12632,1998-10-13T13:58:00,Stanovení počtu ve stálých delegacích,pass,simple majority
12633,1998-10-14T13:24:00,Vl.návrh zák. o státním rozpočtu - 1999,pass,simple majority
12634,1998-10-14T14:46:00,Vl.návrh zák. o státním rozpočtu - 1999,fail,simple majority
12635,1998-10-14T14:47:00,"Vl. návrh o spotřebních daních, DPH",pass,simple majority
12636,1998-10-14T14:47:00,"Vl. návrh o spotřebních daních, DPH",pass,simple majority
12637,1998-10-14T14:52:00,Vl.návrh o daních z příjmů,fail,simple majority
12638,1998-10-14T14:53:00,Vl.návrh o daních z příjmů,fail,simple majority
12639,1998-10-14T14:55:00,Vl.návrh o daních z příjmů,pass,simple majority
12640,1998-10-14T14:55:00,Vl.návrh o daních z příjmů,pass,simple majority
12641,1998-10-14T14:57:00,Vl.návrh o daních z příjmů,pass,simple majority
12642,1998-10-14T15:00:00,"Vl. návrh o spotřebních daních, DPH",pass,simple majority
12643,1998-10-14T15:00:00,"Vl. návrh o spotřebních daních, DPH",pass,simple majority
12644,1998-10-14T15:12:00,Vl.náv.o pojistném na soc.zabezpečení,pass,simple majority
12645,1998-10-14T15:35:00,Vl.náv.o pojistném na soc.zabezpečení,pass,simple majority
12646,1998-10-14T15:37:00,Vl.náv.o pojistném na soc.zabezpečení,fail,simple majority
12647,1998-10-14T15:37:00,Vl.náv.o pojistném na soc.zabezpečení,pass,simple majority
12648,1998-10-14T16:32:00,Vl.návrh zák. o státním rozpočtu - 1999,pass,simple majority
12649,1998-10-14T16:34:00,Vl.návrh zák. o státním rozpočtu - 1999,fail,simple majority
12650,1998-10-14T16:38:00,Vl.návrh zák. o státním rozpočtu - 1999,pass,simple majority
12651,1998-10-14T16:40:00,Vl.návrh zák. o státním rozpočtu - 1999,fail,simple majority
12652,1998-10-14T16:43:00,Vl.návrh zák. o státním rozpočtu - 1999,fail,simple majority
12653,1998-10-14T16:46:00,Vl.návrh zák. o státním rozpočtu - 1999,fail,simple majority
12654,1998-10-14T16:46:00,Vl.návrh zák. o státním rozpočtu - 1999,fail,simple majority
12655,1998-10-14T16:46:00,Vl.návrh zák. o státním rozpočtu - 1999,pass,simple majority
12656,1998-10-14T16:50:00,Vl.návrh zák. o státním rozpočtu - 1999,fail,simple majority
12657,1998-10-14T16:50:00,Vl.návrh zák. o státním rozpočtu - 1999,fail,simple majority
12658,1998-10-14T16:52:00,Vl.návrh zák. o státním rozpočtu - 1999,pass,simple majority
12659,1998-10-14T16:53:00,Vl.návrh zák. o státním rozpočtu - 1999,fail,simple majority
12660,1998-10-14T16:53:00,Vl.návrh zák. o státním rozpočtu - 1999,pass,simple majority
12661,1998-10-14T16:53:00,Vl.návrh zák. o státním rozpočtu - 1999,pass,simple majority
12662,1998-10-14T16:57:00,Vl.návrh zák. o státním rozpočtu - 1999,pass,simple majority
12663,1998-10-14T17:00:00,Vl.návrh zák. o státním rozpočtu - 1999,pass,simple majority
12664,1998-10-14T17:01:00,Vl.návrh zák. o státním rozpočtu - 1999,fail,simple majority
12666,1998-10-15T07:08:00,,pass,simple majority
12667,1998-10-15T07:48:00,Návr.ústavního zákona-Ústava ČR (Filip),fail,simple majority
12668,1998-10-15T07:50:00,Návr.ústavního zákona-Ústava ČR (Filip),pass,simple majority
12669,1998-10-15T07:53:00,Návrh ústavního zákona o referendu-Jičínský,pass,simple majority
12670,1998-10-15T09:00:00,Návrh ústavního zákona o referendu-Jičínský,fail,simple majority
12671,1998-10-15T09:01:00,Návrh ústavního zákona o referendu-Jičínský,fail,simple majority
12672,1998-10-15T09:03:00,Návrh ústavního zákona o referendu-Jičínský,pass,simple majority
12673,1998-10-15T09:03:00,Návrh ústavního zákona o referendu-Jičínský,fail,simple majority
12674,1998-10-15T09:03:00,Návrh ústavního zákona o referendu-Jičínský,pass,simple majority
12675,1998-10-15T09:07:00,Návrh ústavního zákona o referendu-Jičínský,pass,simple majority
12676,1998-10-15T09:08:00,Návr.ústavního zákona-Ústava ČR (Filip),pass,simple majority
12677,1998-10-15T11:47:00,Náv.zák.o veřej.zdravot.pojištění-Rujbrová,pass,simple majority
12678,1998-10-15T12:13:00,Náv.zák.posl.Rujbrové-poskytování půjček,pass,simple majority
12679,1998-10-15T12:29:00,Náv.posl.Rujbrové - o daních z příjmů,pass,simple majority
12680,1998-10-15T13:18:00,Návrh ústavního zákona - Ústava ČR (Filip),pass,simple majority
12681,1998-10-15T13:30:00,Nov.zák.o platech představitelů stát.moci,pass,simple majority
12682,1998-10-16T08:01:00,Novela zákona o obcích (Frank),pass,simple majority
12683,1998-10-16T08:29:00,Návrh ústavního zákona-Ústava ČR (Výborný),pass,simple majority
12684,1998-10-16T08:40:00,Nov.zákona o jednacím řádu PS (Výborný),pass,simple majority
12685,1998-10-16T09:20:00,Senátní náv.- zákon o svobodě informací,pass,simple majority
12686,1998-10-16T09:20:00,Senátní náv.- zákon o svobodě informací,pass,simple majority
12687,1998-10-16T09:20:00,Senátní náv.- zákon o svobodě informací,pass,simple majority
12688,1998-10-16T09:20:00,Senátní náv.- zákon o svobodě informací,pass,simple majority
12689,1998-10-16T09:20:00,Senátní náv.- zákon o svobodě informací,pass,simple majority
12690,1998-10-16T09:43:00,Novela trestního zákona (Rujbrová),pass,simple majority
12691,1998-10-16T09:49:00,Novela trestního zákona (Rujbrová),pass,simple majority
12692,1998-10-16T10:53:00,Náv.stát.závěrečného účtu ČR za rok 1997,fail,simple majority
12693,1998-10-16T10:56:00,Náv.stát.závěrečného účtu ČR za rok 1997,pass,simple majority
12694,1998-10-16T10:58:00,Náv.stát.závěrečného účtu ČR za rok 1997,pass,simple majority
12695,1998-10-16T10:58:00,Náv.stát.závěrečného účtu ČR za rok 1997,pass,simple majority
12696,1998-10-16T11:00:00,Náv.stát.závěrečného účtu ČR za rok 1997,pass,simple majority
12697,1998-10-16T11:00:00,Náv.stát.závěrečného účtu ČR za rok 1997,pass,simple majority
12698,1998-10-16T11:03:00,,pass,simple majority
12699,1998-10-16T11:14:00,Vl.náv.zák.o vydání státních dluhopisů,fail,simple majority
12700,1998-10-16T11:14:00,Vl.náv.zák.o vydání státních dluhopisů,pass,simple majority
12701,1998-10-16T11:14:00,Vl.náv.zák.o vydání státních dluhopisů,pass,simple majority
12702,1998-10-16T11:18:00,Volba členů komise pro práci KPS,pass,simple majority
12703,1998-10-16T11:22:00,Volba členů stálé komise pro sděl.prostř.,pass,simple majority
12704,1998-10-16T11:29:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12705,1998-10-16T11:29:00,Volba poslanců do stálých delegací Parlam.,fail,simple majority
12706,1998-10-16T11:31:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12707,1998-10-16T11:33:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12708,1998-10-16T11:33:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12709,1998-10-16T11:33:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12710,1998-10-16T11:33:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12711,1998-10-16T11:33:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12712,1998-10-16T11:33:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12713,1998-10-16T11:33:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12714,1998-10-16T11:33:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12715,1998-10-16T11:39:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12716,1998-10-16T11:39:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12717,1998-10-16T11:39:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12718,1998-10-16T11:39:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12719,1998-10-16T11:39:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12720,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12721,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12722,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12723,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12724,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12725,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12726,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12727,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12728,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12729,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12730,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12731,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12732,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12733,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12734,1998-10-16T11:42:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12735,1998-10-16T11:52:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12736,1998-10-16T11:52:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12737,1998-10-16T11:52:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12738,1998-10-16T11:52:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12739,1998-10-16T11:54:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12740,1998-10-16T11:54:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12741,1998-10-16T11:54:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12742,1998-10-16T11:54:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12743,1998-10-16T11:54:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12744,1998-10-16T11:54:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12745,1998-10-16T11:54:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12746,1998-10-16T11:54:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12747,1998-10-16T11:59:00,Volba poslanců do stálých delegací Parlam.,fail,simple majority
12748,1998-10-16T11:59:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12749,1998-10-16T11:59:00,Volba poslanců do stálých delegací Parlam.,fail,simple majority
12750,1998-10-16T11:59:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12751,1998-10-16T11:59:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12752,1998-10-16T12:02:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12753,1998-10-16T12:02:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12754,1998-10-16T12:02:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12755,1998-10-16T12:02:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12756,1998-10-16T12:02:00,Volba poslanců do stálých delegací Parlam.,pass,simple majority
12757,1998-10-16T12:06:00,Návrh na změny ve složení výborů PS,pass,simple majority
12758,1998-10-16T12:08:00,Návrh na změny ve složení výborů PS,pass,simple majority
12759,1998-10-16T12:08:00,Návrh na změny ve složení výborů PS,pass,simple majority
12760,1998-10-20T12:08:00,,pass,simple majority
12761,1998-10-20T12:16:00,Dohoda ČR-Mongolsko o vzájemné ochr.invest.c,pass,simple majority
12762,1998-10-20T12:16:00,Dohoda ČR-Mongolsko o vzájemné ochr.invest.c,pass,simple majority
12763,1998-10-20T12:22:00,Sml.ČR-Bulharsko o zamezení dvojího zdanění,pass,simple majority
12764,1998-10-20T12:22:00,Sml.ČR-Bulharsko o zamezení dvojího zdanění,pass,simple majority
12765,1998-10-20T12:27:00,Volba předsedy a dalšího člena FNM,pass,simple majority
12766,1998-10-20T12:40:00,Volba předsedy a dalšího člena FDM,pass,simple majority
12767,1998-10-20T12:42:00,Volba předsedy a dalšího člena FDM,pass,simple majority
12768,1998-10-20T12:42:00,Volba předsedy a dalšího člena FDM,fail,simple majority
12769,1998-10-20T12:42:00,Volba předsedy a dalšího člena FDM,fail,simple majority
12770,1998-10-20T12:42:00,Volba předsedy a dalšího člena FDM,fail,simple majority
12771,1998-10-20T12:42:00,Volba předsedy a dalšího člena FDM,fail,simple majority
12772,1998-10-20T12:46:00,Volba předsedy a dalšího člena FDM,fail,simple majority
12773,1998-10-20T12:46:00,Volba předsedy a dalšího člena FDM,fail,simple majority
